datetime,date,hour,total emojis,average emojis,total score,average scores,average body length
2013-02-09T00,2013-02-09,00,3436,1.2553891121666059,20454,7.4731457800511505,156.8388746803069
2013-02-23T16,2013-02-23,16,5170,1.3834626705913835,20655,5.527160824190527,141.8993845330479
2013-02-27T01,2013-02-27,01,5602,1.4501682630080248,22771,5.894641470359824,169.9350245922858
2013-02-21T11,2013-02-21,11,6790,1.2743993993993994,29851,5.602665165165165,156.54091591591592
2013-02-20T21,2013-02-20,21,2536,1.5869837296620777,6743,4.219649561952441,175.2177722152691
2013-02-26T17,2013-02-26,17,4591,1.3261120739456962,14906,4.305603697284806,161.97198151357597
2013-02-26T07,2013-02-26,07,8936,1.45632333767927,50826,8.283246414602347,160.10413950456322
2013-02-23T03,2013-02-23,03,9035,1.6784321010588892,33637,6.248746052387145,174.8142299832807
2013-02-21T20,2013-02-21,20,3287,1.795193883123976,7843,4.2834516657564174,175.29655925723648
2013-02-09T15,2013-02-09,15,6086,1.534543620776601,18264,4.605143721633888,151.90267271810387
2013-02-16T19,2013-02-16,19,3955,1.8259464450600185,10128,4.67590027700831,173.03508771929825
2013-02-08T18,2013-02-08,18,5507,1.8724923495409724,14069,4.78374702482149,173.46922815368922
2013-02-02T22,2013-02-02,22,1121,0.8365671641791045,4516,3.370149253731343,152.48507462686567
2013-02-17T17,2013-02-17,17,4723,1.4412572474824534,13548,4.134269148611535,156.1357949343912
2013-02-16T20,2013-02-16,20,3851,2.090662323561346,10373,5.631378935939196,163.92290988056462
2013-02-08T13,2013-02-08,13,6598,1.2517548852210207,25560,4.849174729652817,145.26124075128058
2013-02-18T09,2013-02-18,09,7682,1.6278872642509006,26114,5.533799533799534,163.72176308539946
2013-02-13T13,2013-02-13,13,11306,1.9957634598411298,26356,4.65242718446602,153.53945278022948
2013-02-20T11,2013-02-20,11,8049,1.4900037023324695,26593,4.922806368011847,167.6543872639763
2013-03-01T10,2013-03-01,10,6803,1.2921177587844255,32465,6.1661918328585,156.50940170940171
2013-02-10T22,2013-02-10,22,2329,1.484384958572339,6311,4.022307202039515,183.33014659018482
2013-02-02T04,2013-02-02,04,8272,1.5012704174228675,29463,5.347186932849365,169.67241379310346
2013-02-15T17,2013-02-15,17,5276,1.5035622684525505,14955,4.261897976631519,147.13707609005414
2013-02-24T00,2013-02-24,00,2839,1.4725103734439835,9391,4.870850622406639,150.4740663900415
2013-02-12T14,2013-02-12,14,8091,1.5263157894736843,24131,4.552159969817016,153.16204489718922
2013-02-02T16,2013-02-02,16,4439,1.1834177552652625,15983,4.26099706744868,147.72967208744336
2013-02-25T23,2013-02-25,23,3622,1.905312993161494,12137,6.38453445554971,171.8190426091531
2013-02-21T23,2013-02-21,23,4052,1.7873842082046758,8138,3.5897662108513453,171.5906484340538
2013-02-15T23,2013-02-15,23,3302,1.7887323943661972,8290,4.4907908992416035,165.4907908992416
2013-02-08T19,2013-02-08,19,3368,1.471384884228921,9625,4.204892966360856,165.15334207077328
2013-02-17T18,2013-02-17,18,3647,1.3547548291233285,11118,4.130014858841011,165.96916790490343
2013-02-24T04,2013-02-24,04,5661,1.341469194312796,27861,6.602132701421801,154.5059241706161
2013-02-26T08,2013-02-26,08,8356,1.3039950062421972,36409,5.681803995006242,158.53058676654183
2013-02-03T09,2013-02-03,09,5206,1.1995391705069125,20225,4.660138248847926,153.0352534562212
2013-03-01T04,2013-03-01,04,8234,1.4133196017851013,29786,5.112598695502918,168.04857535187094
2013-02-01T19,2013-02-01,19,2955,1.34624145785877,10009,4.559908883826879,168.88063781321185
2013-02-14T12,2013-02-14,12,7337,1.3919559855814836,25027,4.7480553974577875,156.5949535192563
2013-02-23T05,2013-02-23,05,8715,1.4992258730431791,26598,4.5756063994495095,174.88886977464304
2013-02-09T04,2013-02-09,04,7965,1.4074924898391943,33104,5.849796783884078,173.04665135182896
2013-02-10T14,2013-02-10,14,5646,1.3234880450070323,21358,5.006563525550868,158.07524613220815
